degree, x, y, distance, frame
-74.0, 182.0, 67.5,5.568, 623
-75.0, 188.234, 45.617,4.583, 624
-72.0, 195.755, 23.378,4.472, 625
-68.0, 201.5, 8.0,4.359, 626
45.0, 515.5, 324.875,3.606, 627
undef, 515.5, 324.379,11.045, 628
-45.0, 516.0, 323.397,2.0, 629
undef, 516.0, 323.397,1.414, 630
undef, 516.0, 323.397,2.0, 631
180.0, 515.5, 323.588,2.0, 632
153.0, 511.089, 325.275,2.236, 633
-27.0, 513.5, 324.353,1.414, 634
-45.0, 514.5, 323.971,1.732, 635
63.0, 515.0, 325.532,1.414, 636
135.0, 514.5, 326.4,1.732, 637
-72.0, 515.0, 323.779,2.449, 638
108.0, 514.5, 326.4,0.0, 639
-135.0, 513.5, 325.015,2.0, 640
undef, 513.5, 325.015,0.0, 641
-27.0, 515.0, 324.424,2.0, 642
180.0, 514.398, 324.661,1.732, 643
undef, 514.532, 323.958,2.236, 644
0.0, 516.095, 323.993,1.0, 645
undef, 516.052, 324.01,2.449, 646
180.0, 515.79, 324.757,2.236, 647
undef, 515.898, 324.713,2.236, 648
180.0, 514.5, 324.688,2.0, 649
-122.0, 324.88, 22.222,2.236, 650
75.0, 329.339, 41.101,20.0, 651
56.0, 516.5, 323.938,4.69, 652
-127.0, 338.802, 83.198,20.421, 653
54.0, 515.0, 324.424,9.487, 654
146.0, 512.5, 326.094,8.246, 655
-27.0, 514.0, 325.532,1.0, 656
162.0, 511.5, 326.177,1.732, 657
-18.0, 514.521, 325.106,2.828, 658
0.0, 516.0, 325.145,2.0, 659
180.0, 515.5, 325.81,2.449, 660
-166.0, 511.98, 324.673,2.236, 661
18.0, 514.5, 325.062,1.732, 662
45.0, 515.473, 326.011,2.449, 663
undef, 515.5, 324.688,2.0, 664
